IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
154.201.78.7,35578,443,true,LAX,North America,US,Los Angeles,160,0.54
149.104.30.57,56785,443,true,LAX,North America,US,Los Angeles,42,0.54
154.17.9.35,882,443,true,LAX,North America,US,Los Angeles,151,0.53
217.142.139.26,443,443,true,LAX,North America,US,Los Angeles,246,0.50
91.149.239.206,443,443,true,LAX,North America,US,Los Angeles,207,0.42
154.21.91.149,4445,443,true,LAX,North America,US,Los Angeles,149,0.34
107.151.251.151,10017,443,true,LAX,North America,US,Los Angeles,141,0.29
154.17.239.70,51736,443,true,LAX,North America,US,Los Angeles,139,0.26
38.47.239.93,21196,443,true,LAX,North America,US,Los Angeles,175,0.20
154.21.91.175,587,443,true,LAX,North America,US,Los Angeles,158,0.04
154.21.90.176,56057,443,true,LAX,North America,US,Los Angeles,149,0.00
154.17.231.21,38282,443,true,LAX,North America,US,Los Angeles,142,0.00
154.17.7.113,9003,8080,false,LAX,North America,US,Los Angeles,164,0.00
149.248.13.253,443,0,true,LAX,North America,US,Los Angeles,209,0.00
